INSTNM,CITY,STABBR,ZIP,ACCREDAGENCY,HCM2,MAIN,NUMBRANCH,PREDDEG,HIGHDEG,CONTROL,ST_FIPS,REGION,ADM_RATE,TYPE,PLACE
Washington Saratoga Warren Hamilton Essex BOCES-Practical Nursing Program,Hudson Falls,NY,12839,New York State Board of Regents State Education Department Office of the Professions (Public Postsecondary Vocational Education Practical Nursing),0,Main campus,1,Predominantly certificate-degree granting,Certificate degree,Public,New York,Mid East,0.5,Small,Suburb
Jefferson County Dubois Area Vocational Technical Practical Nursing Program,Reynoldsville,PA,15851,Accreditation Commission for Education in Nursing,0,Main campus,1,Predominantly certificate-degree granting,Certificate degree,Public,Pennsylvania,Mid East,0.8182,Remote,Town
Northern Tier Career Center,Towanda,PA,18848-9731,Accreditation Commission for Education in Nursing,0,Main campus,1,Predominantly certificate-degree granting,Certificate degree,Public,Pennsylvania,Mid East,0.7209,Fringe,Rural
Clarion County Career Center Practical Nursing Program,Shippenville,PA,16254-8975,,0,Main campus,1,Predominantly certificate-degree granting,Certificate degree,Public,Pennsylvania,Mid East,1.0,Fringe,Rural
United Technical Center,Clarksburg,WV,26301-6313,Council on Occupational Education,0,Main campus,1,Predominantly certificate-degree granting,Certificate degree,Public,West Virginia,Southeast,0.4815,Distant,Town
Yeshiva D'monsey Rabbinical College,Monsey,NY,10952,Association of Advanced Rabbinical and Talmudic Schools,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,New York,Mid East,0.5313,Large,Suburb
Green Country Technology Center,Okmulgee,OK,74447-1217,Oklahoma State Board of Career and Technology Education,0,Main campus,1,Predominantly certificate-degree granting,Certificate degree,Public,Oklahoma,Southwest,0.5354,Fringe,Rural
The Creative Center,Omaha,NE,68164,Accrediting Commission of Career Schools and Colleges,0,Main campus,1,Predominantly associate's-degree granting,Bachelor's degree,Private for-profit,Nebraska,Plains,0.6667,Large,City
San Juan Bautista School of Medicine,Caguas,PR,00725-4968,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Puerto Rico,Outlying Areas,1.0,Small,City
Cayuga Onondaga BOCES-Practical Nursing Program,Auburn,NY,13021,New York State Board of Regents State Education Department Office of the Professions (Public Postsecondary Vocational Education Practical Nursing),0,Main campus,1,Predominantly certificate-degree granting,Certificate degree,Public,New York,Mid East,0.5797,Distant,Town
Delaware County Technical School-Practical Nursing Program,Broomall,PA,19008,Accreditation Commission for Education in Nursing,0,Main campus,1,Predominantly certificate-degree granting,Certificate degree,Public,Pennsylvania,Mid East,1.0,Large,Suburb
Yeshiva of the Telshe Alumni,Riverdale,NY,10471-2897,Association of Advanced Rabbinical and Talmudic Schools,0,Main campus,1,Predominantly associate's-degree granting,Bachelor's degree,Private nonprofit,New York,Mid East,0.7857,Large,City
Delaware College of Art and Design,Wilmington,DE,19801-3007,Middle States Commission on Higher Education,0,Main campus,1,Predominantly associate's-degree granting,Associate degree,Private nonprofit,Delaware,Mid East,0.7606,Small,City
