INSTNM,CITY,STABBR,ZIP,ACCREDAGENCY,HCM2,MAIN,NUMBRANCH,PREDDEG,HIGHDEG,CONTROL,ST_FIPS,REGION,ADM_RATE,TYPE,PLACE
Merkaz Bnos-Business School,Brooklyn,NY,11214,Middle States Commission on Secondary Education,0,Main campus,1,Predominantly certificate-degree granting,Certificate degree,Private nonprofit,New York,Mid East,0.8621,Large,City
Grace Mission University,Fullerton,CA,92833-3860,Transnational Association of Christian Colleges and Schools,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,California,Far West,0.9048,Large,Suburb
Long Island Business Institute,Flushing,NY,11354-5577,New York State Board of Regents and the Commissioner of Education,0,Main campus,1,Predominantly associate's-degree granting,Associate degree,Private for-profit,New York,Mid East,0.7422,Large,City
Oikos University,Oakland,CA,94621-2041,,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,California,Far West,0.4286,N,N
West Coast University-Orange County,Anaheim,CA,92802,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Not main campus,6,Predominantly bachelor's-degree granting,Graduate degree,Private for-profit,California,Far West,0.9535,Large,City
University of Hawaii at Manoa,Honolulu,HI,96822-2217,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Hawaii,Far West,0.8352,Large,City
University of Hawaii-West Oahu,Kapolei,HI,96707-4507,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Public,Hawaii,Far West,0.7531,Large,Suburb
University of the Pacific,Stockton,CA,95211-0197,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,California,Far West,0.6348,Large,City
San Jose State University,San Jose,CA,95192-0001,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,California,Far West,0.5466,Large,City
University of California-Irvine,Irvine,CA,92697,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,California,Far West,0.2876,Large,City
University of California-Berkeley,Berkeley,CA,94720,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,California,Far West,0.1484,Midsize,City
University of the Sciences,Philadelphia,PA,19104-4495,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Pennsylvania,Mid East,0.6327,Large,City
University of California-Riverside,Riverside,CA,92521,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,California,Far West,0.5057,Large,City
University of California-San Diego,La Jolla,CA,92093,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,California,Far West,0.3006,Large,City
Art Center College of Design,Pasadena,CA,91103,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,California,Far West,0.6765,Midsize,City
The University of Texas at Dallas,Richardson,TX,75080-3021,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Texas,Southwest,0.6922,Midsize,City
CUNY Bernard M Baruch College,New York,NY,10010,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,New York,Mid East,0.3929,Large,City
Carnegie Mellon University,Pittsburgh,PA,15213-3890,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Pennsylvania,Mid East,0.1712,Large,City
Hussian College-Studio School Los Angeles,Los Angeles,CA,90017-2019,Accrediting Commission of Career Schools and Colleges,0,Not main campus,7,Predominantly bachelor's-degree granting,Graduate degree,Private for-profit,California,Far West,0.856,Large,City
Chaminade University of Honolulu,Honolulu,HI,96816-1578,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Hawaii,Far West,0.9769,Large,City
Emory University-Oxford College,Oxford,GA,30054,Southern Association of Colleges and Schools Commission on Colleges,0,Not main campus,2,Predominantly associate's-degree granting,Associate degree,Private nonprofit,Georgia,Southeast,0.2495,Large,Suburb
University of Washington-Bothell Campus,Bothell,WA,98011-8246,Northwest Commission on Colleges and Universities,0,Not main campus,3,Predominantly bachelor's-degree granting,Graduate degree,Public,Washington,Far West,0.7935,Large,Suburb
West Coast University-Los Angeles,North Hollywood,CA,91606,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Main campus,6,Predominantly bachelor's-degree granting,Bachelor's degree,Private for-profit,California,Far West,0.9231,Large,City
CUNY Queens College,Queens,NY,11367,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,New York,Mid East,0.4765,Large,City
CUNY Hunter College,New York,NY,10065,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,New York,Mid East,0.3642,Large,City
Dominican University of California,San Rafael,CA,94901-2298,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,California,Far West,0.8717,Small,City
University of California-Los Angeles,Los Angeles,CA,90095-1405,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,California,Far West,0.1404,Large,City
Rutgers University-New Brunswick,New Brunswick,NJ,08901-1281,Middle States Commission on Higher Education,0,Main campus,3,Predominantly bachelor's-degree granting,Graduate degree,Public,New Jersey,Mid East,0.6011,Small,City
University of California-Davis,Davis,CA,95616-8678,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,California,Far West,0.4107,Small,Suburb
Chamberlain University-Nevada,Las Vegas,NV,89144-6595,Higher Learning Commission,0,Not main campus,15,Predominantly bachelor's-degree granting,Bachelor's degree,Private for-profit,Nevada,Far West,0.5714,Large,City
West Coast University-Ontario,Ontario,CA,91761,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Not main campus,6,Predominantly bachelor's-degree granting,Bachelor's degree,Private for-profit,California,Far West,0.881,Midsize,City
Stony Brook University,Stony Brook,NY,11794,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,New York,Mid East,0.4198,Large,Suburb
San Francisco State University,San Francisco,CA,94132,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,California,Far West,0.7176,Large,City
Otis College of Art and Design,Los Angeles,CA,90045-3505,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,California,Far West,0.9441,Large,City
University of Washington-Seattle Campus,Seattle,WA,98195-4550,Northwest Commission on Colleges and Universities,0,Main campus,3,Predominantly bachelor's-degree granting,Graduate degree,Public,Washington,Far West,0.4869,Large,City
CUNY City College,New York,NY,10031,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,New York,Mid East,0.4827,Large,City
Stanbridge University-Los Angeles,Alhambra,CA,91803-1310,Accrediting Commission of Career Schools and Colleges,0,Not main campus,2,Predominantly associate's-degree granting,Non-degree-granting,Private for-profit,California,Far West,0.5,Large,Suburb
University of San Francisco,San Francisco,CA,94117-1080,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,California,Far West,0.6455,Large,City
Arizona College-Las Vegas,Las Vegas,NV,89102-4512,Accrediting Bureau of Health Education Schools,0,Not main campus,3,Predominantly bachelor's-degree granting,Bachelor's degree,Private for-profit,Nevada,Far West,0.8831,Large,City
New Jersey Institute of Technology,Newark,NJ,7102,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,New Jersey,Mid East,0.6366,Large,City
California State University-East Bay,Hayward,CA,94542,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,California,Far West,0.716,Midsize,City
Carrington College-Las Vegas,Las Vegas,NV,89119,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,0,Not main campus,6,Predominantly certificate-degree granting,Associate degree,Private for-profit,Nevada,Far West,0.8958,Midsize,City
California State University-Long Beach,Long Beach,CA,90840-0115,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,California,Far West,0.3121,Large,City
CUNY York College,Jamaica,NY,11451,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,New York,Mid East,0.5276,Large,City
University of California-Santa Cruz,Santa Cruz,CA,95064-1011,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,California,Far West,0.4737,Small,City
University of Houston,Houston,TX,77204-2018,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Texas,Southwest,0.6234,Large,City
The University of Texas at Austin,Austin,TX,78705,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Texas,Southwest,0.3852,Large,City
University of Maryland-Baltimore County,Baltimore,MD,21250,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Maryland,Mid East,0.5794,Large,Suburb
Carrington College-San Jose,San Jose,CA,95138,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,0,Not main campus,7,Predominantly certificate-degree granting,Associate degree,Private for-profit,California,Far West,0.9341,Large,City
Wellesley College,Wellesley,MA,02481-8203,New England Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,Massachusetts,New England,0.1954,Large,Suburb
California State University-Fullerton,Fullerton,CA,92831-3599,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,California,Far West,0.4341,Large,Suburb
MCPHS University,Boston,MA,02115-5896,New England Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Massachusetts,New England,0.9348,Large,City
CUNY Brooklyn College,Brooklyn,NY,11210,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,New York,Mid East,0.4426,Large,City
Georgia Institute of Technology-Main Campus,Atlanta,GA,30332-0530,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Georgia,Southeast,0.2153,Large,City
California State Polytechnic University-Pomona,Pomona,CA,91768,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,California,Far West,0.5515,Large,Suburb
University of Illinois at Chicago,Chicago,IL,60607,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Illinois,Great Lakes,0.7555,Large,City
Cooper Union for the Advancement of Science and Art,New York,NY,10003-7120,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,New York,Mid East,0.1602,Large,City
Case Western Reserve University,Cleveland,OH,44106,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Ohio,Great Lakes,0.2925,Large,City
Cogswell College,San Jose,CA,95134,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private for-profit,California,Far West,0.5787,Large,City
Emory University,Atlanta,GA,30322,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,2,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Georgia,Southeast,0.1852,Large,City
University of Southern California,Los Angeles,CA,90089,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,California,Far West,0.1296,Large,City
CUNY New York City College of Technology,Brooklyn,NY,11201,Middle States Commission on Higher Education,0,Main campus,1,Predominantly associate's-degree granting,Bachelor's degree,Public,New York,Mid East,0.7505,Large,City
George Mason University,Fairfax,VA,22030-4444,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Virginia,Southeast,0.8106,Large,Suburb
California State University-Sacramento,Sacramento,CA,95819-2694,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,California,Far West,0.6386,Large,City
Concorde Career College-Garden Grove,Garden Grove,CA,92840-9201,Accrediting Commission of Career Schools and Colleges,0,Main campus,1,Predominantly certificate-degree granting,Associate degree,Private for-profit,California,Far West,0.9732,Large,Suburb
University of Washington-Tacoma Campus,Tacoma,WA,98402-3100,Northwest Commission on Colleges and Universities,0,Not main campus,3,Predominantly bachelor's-degree granting,Graduate degree,Public,Washington,Far West,0.8556,Midsize,City
Stanbridge University,Irvine,CA,92612,Accrediting Commission of Career Schools and Colleges,0,Main campus,2,Predominantly associate's-degree granting,Graduate degree,Private for-profit,California,Far West,0.5295,Large,City
Pacific Union College,Angwin,CA,94508-9707,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,California,Far West,0.4944,Fringe,Rural
University of California-Merced,Merced,CA,95343-5603,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,California,Far West,0.6617,Fringe,Rural
University of Illinois at Urbana-Champaign,Champaign,IL,61820-5711,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Illinois,Great Lakes,0.6216,Small,City
New York University,New York,NY,10012-1091,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,New York,Mid East,0.1999,Large,City
Casa Loma College-Van Nuys,Van Nuys,CA,91405,Accrediting Bureau of Health Education Schools,0,Main campus,1,Predominantly associate's-degree granting,Associate degree,Private nonprofit,California,Far West,0.913,Large,City
Harvey Mudd College,Claremont,CA,91711,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,California,Far West,0.1448,Large,Suburb
University of Connecticut-Hartford Campus,Hartford,CT,6103,New England Commission on Higher Education,0,Not main campus,5,Predominantly bachelor's-degree granting,Graduate degree,Public,Connecticut,New England,0.9486,Midsize,City
New York Institute of Technology,Old Westbury,NY,11568-8000,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,New York,Mid East,0.7575,Large,Suburb
Albany College of Pharmacy and Health Sciences,Albany,NY,12208-3492,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,New York,Mid East,0.7189,Small,City
Gnomon,Hollywood,CA,90038,Accrediting Commission of Career Schools and Colleges,0,Main campus,1,Predominantly certificate-degree granting,Bachelor's degree,Private for-profit,California,Far West,0.3684,Large,City
Laguna College of Art and Design,Laguna Beach,CA,92651,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,California,Far West,0.8093,Fringe,Rural
Rhode Island School of Design,Providence,RI,02903-2784,New England Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Rhode Island,New England,0.2387,Midsize,City
University of California-Santa Barbara,Santa Barbara,CA,93106,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,California,Far West,0.322,Midsize,Suburb
Divine Word College,Epworth,IA,52045,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,Iowa,Plains,1.0,Distant,Rural
Rutgers University-Newark,Newark,NJ,7102,Middle States Commission on Higher Education,0,Not main campus,3,Predominantly bachelor's-degree granting,Graduate degree,Public,New Jersey,Mid East,0.6274,Large,City
Drexel University,Philadelphia,PA,19104,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Pennsylvania,Mid East,0.7694,Large,City
Biola University,La Mirada,CA,90639-0001,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,California,Far West,0.7347,Large,Suburb
University of Maryland-College Park,College Park,MD,20742,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Maryland,Mid East,0.4716,Large,Suburb
West Coast University-Dallas,Dallas,TX,75247-3900,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Not main campus,6,Predominantly bachelor's-degree granting,Graduate degree,Private for-profit,Texas,Southwest,1.0,Large,City
La Sierra University,Riverside,CA,92505-8247,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,California,Far West,0.4709,Large,City
Carrington College-Pleasant Hill,Pleasant Hill,CA,94523,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,0,Not main campus,7,Predominantly certificate-degree granting,Associate degree,Private for-profit,California,Far West,0.8125,Large,Suburb
FIDM-Fashion Institute of Design & Merchandising-San Francisco,San Francisco,CA,94108-5805,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Not main campus,4,Predominantly associate's-degree granting,Bachelor's degree,Private for-profit,California,Far West,0.4615,Large,City
Scripps College,Claremont,CA,91711-3905,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,California,Far West,0.2424,Large,Suburb
Washington University in St Louis,Saint Louis,MO,63130-4899,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Missouri,Plains,0.1503,Large,Suburb
Santa Clara University,Santa Clara,CA,95053,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Main campus,2,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,California,Far West,0.4991,Midsize,City
Metropolitan State University,Saint Paul,MN,55106-5000,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Minnesota,Plains,0.5379,Large,City
University of Hawaii at Hilo,Hilo,HI,96720-4091,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Hawaii,Far West,0.7863,Remote,Town
Seattle University,Seattle,WA,98122-4340,Northwest Commission on Colleges and Universities,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Washington,Far West,0.7565,Large,City
Mount Saint Mary's University,Los Angeles,CA,90049-1599,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Main campus,2,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,California,Far West,0.8382,Large,City
Boston University,Boston,MA,2215,New England Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Massachusetts,New England,0.2209,Large,City
University of Nevada-Las Vegas,Las Vegas,NV,89154,Northwest Commission on Colleges and Universities,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Nevada,Far West,0.8204,Midsize,City
Pacific Rim Christian University,Honolulu,HI,96819-2228,Association for Bibical Higher Educaiton,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Hawaii,Far West,0.7,Large,City
California Christian College,Fresno,CA,93727,Transnational Association of Christian Colleges and Schools,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,California,Far West,1.0,Large,City
St John's University-New York,Queens,NY,11439,Middle States Commission on Higher Education,0,Main campus,2,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,New York,Mid East,0.7306,Large,City
California College of the Arts,San Francisco,CA,94107-2247,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,California,Far West,0.8818,Large,City
Occidental College,Los Angeles,CA,90041-3392,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,California,Far West,0.373,Large,City
Hawaii Pacific University,Honolulu,HI,96813,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Hawaii,Far West,0.7513,Large,City
Amherst College,Amherst,MA,01002-5000,New England Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,Massachusetts,New England,0.1281,Large,Suburb
Illinois Institute of Technology,Chicago,IL,60616,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Illinois,Great Lakes,0.5818,Large,City
University at Buffalo,Buffalo,NY,14260-1660,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,New York,Mid East,0.5585,Large,Suburb
Chamberlain University-Texas,Houston,TX,77041,Higher Learning Commission,0,Not main campus,15,Predominantly bachelor's-degree granting,Bachelor's degree,Private for-profit,Texas,Southwest,0.2308,Large,City
St. Louis College of Pharmacy,Saint Louis,MO,63110-1088,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Missouri,Plains,0.7083,Large,City
University of Michigan-Ann Arbor,Ann Arbor,MI,48109,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Michigan,Great Lakes,0.2283,Midsize,City
Barnard College,New York,NY,10027-6598,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,New York,Mid East,0.1392,Large,City
Mt Sierra College,Monrovia,CA,91016,,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private for-profit,California,Far West,0.8,Large,Suburb
Stevens Institute of Technology,Hoboken,NJ,07030-5991,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,New Jersey,Mid East,0.4142,Large,Suburb
Holy Name Medical Center-Sister Claire Tynan School of Nursing,Englewood Cliffs,NJ,7632,Accreditation Commission for Education in Nursing,0,Main campus,1,Predominantly certificate-degree granting,Certificate degree,Private nonprofit,New Jersey,Mid East,1.0,Large,Suburb
Benedictine University,Lisle,IL,60532-0900,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Illinois,Great Lakes,0.6283,Large,Suburb
Pennsylvania State University-Penn State Abington,Abington,PA,19001-3918,Middle States Commission on Higher Education,0,Not main campus,23,Predominantly bachelor's-degree granting,Bachelor's degree,Public,Pennsylvania,Mid East,0.8475,Large,Suburb
University of Virginia-Main Campus,Charlottesville,VA,22903-2628,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Virginia,Southeast,0.2643,Small,Suburb
Binghamton University,Vestal,NY,13850-6000,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,New York,Mid East,0.3981,Midsize,Suburb
University of Minnesota-Rochester,Rochester,MN,55904,Higher Learning Commission,0,Not main campus,2,Predominantly bachelor's-degree granting,Bachelor's degree,Public,Minnesota,Plains,0.4954,Midsize,City
Georgia State University,Atlanta,GA,30303-3083,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,2,Predominantly bachelor's-degree granting,Graduate degree,Public,Georgia,Southeast,0.7137,Large,City
University of Portland,Portland,OR,97203-5798,Northwest Commission on Colleges and Universities,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Oregon,Far West,0.7533,Large,City
FIDM-Fashion Institute of Design & Merchandising-Orange County,Irvine,CA,92614-5610,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Not main campus,4,Predominantly associate's-degree granting,Bachelor's degree,Private for-profit,California,Far West,0.6667,Large,City
Brandeis University,Waltham,MA,02454-9110,New England Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Massachusetts,New England,0.3115,Small,City
Northeastern University,Boston,MA,02115-5005,New England Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Massachusetts,New England,0.1934,Large,City
Franklin W Olin College of Engineering,Needham,MA,02492-1200,New England Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,Massachusetts,New England,0.1572,Large,Suburb
Virginia Commonwealth University,Richmond,VA,23284-2512,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Virginia,Southeast,0.8625,Midsize,City
School of Visual Arts,New York,NY,10010,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private for-profit,New York,Mid East,0.7,Large,City
University of Massachusetts-Boston,Boston,MA,02125-3393,New England Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Massachusetts,New England,0.7761,Large,City
Rensselaer Polytechnic Institute,Troy,NY,12180-3590,Middle States Commission on Higher Education,0,Main campus,2,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,New York,Mid East,0.4299,Small,City
Andrews University,Berrien Springs,MI,49104,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Michigan,Great Lakes,0.6554,Fringe,Town
Charles R Drew University of Medicine and Science,Los Angeles,CA,90059,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Main campus,1,Predominantly associate's-degree granting,Graduate degree,Private nonprofit,California,Far West,0.3727,Large,Suburb
San Diego State University,San Diego,CA,92182-0001,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Main campus,2,Predominantly bachelor's-degree granting,Graduate degree,Public,California,Far West,0.3458,Large,City
Concorde Career College-North Hollywood,North Hollywood,CA,91606-3134,Accrediting Commission of Career Schools and Colleges,0,Main campus,1,Predominantly certificate-degree granting,Associate degree,Private for-profit,California,Far West,0.8384,Large,City
Healthcare Training Institute,Union,NJ,7083,Accrediting Commission of Career Schools and Colleges,0,Main campus,1,Predominantly certificate-degree granting,Certificate degree,Private for-profit,New Jersey,Mid East,0.7857,Large,Suburb
Soka University of America,Aliso Viejo,CA,92656-8081,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,California,Far West,0.3896,Large,Suburb
California Polytechnic State University-San Luis Obispo,San Luis Obispo,CA,93407,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,California,Far West,0.3017,Small,Suburb
Haverford College,Haverford,PA,19041-1392,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,Pennsylvania,Mid East,0.1879,Large,Suburb
California State University-Fresno,Fresno,CA,93740,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,California,Far West,0.5753,Large,City
